Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2016-03-01,BREAD,H,8,30,38,15,0,0,23
2016-03-01,BREAD,FR,10,59,69,16,45,0,8
2016-03-01,BREAD,GW,0,15,15,9,0,0,6
2016-03-01,BREAD,DK,12,0,12,12,0,0,0
2016-03-01,BREAD,H5,0,20,20,7,0,0,13
2016-03-01,BREAD,CSWRL,8,12,20,12,1,0,7
2016-03-01,BREAD,va swrl,0,16,16,8,0,0,8
2016-03-01,BREAD,isb,0,18,18,6,0,0,12
2016-03-01,BREAD,Cne,18,0,18,17,0,1,0
2016-03-01,BREAD,CnR,0,0,0,0,0,0,0
2016-03-01,BREAD,CnW,2,0,2,2,0,0,0
2016-03-01,BREAD,cg,14,0,14,10,0,4,0
2016-03-01,BREAD,cg-jal,4,0,4,2,0,2,0
2016-03-01,BREAD,cg-pesto,0,0,0,0,0,0,0
2016-03-01,BREAD,vs,0,18,18,3,0,0,15
2016-03-01,BREAD,G & S,0,0,0,0,0,0,0
2016-03-01,BREAD,H-bunny,0,0,0,0,0,0,0
2016-03-01,BREAD,Glut-X,0,0,0,0,0,0,0
2016-03-01,BREAD,Glut-X Cin,0,0,0,0,0,0,0
2016-03-01,BREAD,Hot x Buns,0,0,0,0,0,0,0
2016-03-01,BREAD,But-Rolls,0,0,0,0,0,0,0
2016-03-01,BREAD,pastel-R,0,0,0,0,0,0,0
2016-03-01,BREAD,H-RLS,3,0,3,2,0,1,0
2016-03-01,BREAD,FR-RLS,3,0,3,0,0,3,0
2016-03-01,BREAD,VS-RLS,0,6,6,2,0,0,4
2016-03-01,BREAD,lemon blue,2,4,6,3,0,0,3
2016-03-01,BREAD,straw short,3,3,6,2,2,1,1
2016-03-01,BREAD,Choc Carm,4,0,4,4,0,0,0
2016-03-01,ROLLS,Cinnamon,0,24,24,24,0,0,0
2016-03-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0
2016-03-01,SCONES,Cherry,0,0,0,0,0,0,0
2016-03-01,SCONES,Blueberry,0,22,22,18,4,0,0
2016-03-01,SCONES,Butt Almd,0,0,0,0,0,0,0
2016-03-01,SCONES,Choc Chip,0,11,11,11,0,0,0
2016-03-01,SCONES,Cin Chip,0,0,0,0,0,0,0
2016-03-01,SCONES,blarney,0,6,6,6,0,0,0
2016-03-01,FRUIT BARS,Blueberry,0,0,0,0,0,0,0
2016-03-01,FRUIT BARS,Cherry,0,40,40,0,40,0,0
2016-03-01,FRUIT BARS,strawberry,0,10,10,3,2,5,0
