Date,Category,Product,START_OF_DAY,MADE_TODAY,AVAILABLE_TO_SELL,OUT_THE_DOOR,ORDERS_TODAY,REMOVED_AS_DAY_OLD,LEFT
2014-10-01,BREAD,H,23,32,55,36,0,0,19
2014-10-01,BREAD,FR,15,21,36,16,0,0,20
2014-10-01,BREAD,GW,0,21,21,16,2,0,3
2014-10-01,BREAD,DK,3,55,58,29,2,0,27
2014-10-01,BREAD,H5,16,0,16,12,0,0,4
2014-10-01,BREAD,CSWRL,9,8,17,10,0,0,7
2014-10-01,BREAD,VASWRL,0,20,20,8,0,0,12
2014-10-01,BREAD,ApSWRL,11,0,11,5,0,6,0
2014-10-01,BREAD,VS,15,0,15,10,0,5,0
2014-10-01,BREAD,CG,0,0,0,0,0,0,0
2014-10-01,BREAD,AP,0,33,33,11,0,0,22
2014-10-01,BREAD,CnE,0,18,18,12,0,0,6
2014-10-01,BREAD,CnR,0,12,12,5,0,0,7
2014-10-01,BREAD,CnW,0,12,12,3,0,0,9
2014-10-01,BREAD,SOUR,0,0,0,0,0,0,0
2014-10-01,BREAD,A.Sour,0,0,0,0,0,0,0
2014-10-01,BREAD,ApC,17,0,17,12,0,5,0
2014-10-01,BREAD,CH,0,0,0,0,0,0,0
2014-10-01,BREAD,IHF,0,0,0,0,0,0,0
2014-10-01,BREAD,Cin Stix,0,63,63,43,0,0,20
2014-10-01,BREAD,CAR,0,0,0,0,0,0,0
2014-10-01,BREAD,H-RLS,0,7,7,3,0,0,4
2014-10-01,BREAD,FR-RLS,0,6,6,5,0,0,1
2014-10-01,BREAD,VS-RLS,0,0,0,0,0,0,0
2014-10-01,BREAD,APPLE,0,3,3,3,0,0,0
2014-10-01,BREAD,Choc,0,3,3,2,0,0,1
2014-10-01,BREAD,Blue,0,3,3,3,0,0,0
2014-10-01,ROLLS,Cinnamon,0,60,60,42,0,18,0
2014-10-01,SCONES,Cherry,0,44,44,15,12,17,0
2014-10-01,SCONES,Choc Chip,0,88,88,33,12,43,0
2014-10-01,SCONES,Blueberry,0,12,12,11,0,1,0
2014-10-01,SCONES,Butt Almd,0,6,6,6,0,0,0
2014-10-01,FRUIT BARS,Blueberry,0,10,10,2,0,8,0
2014-10-01,FRUIT BARS,Cherry,0,10,10,8,0,2,0
2014-10-01,FRUIT BARS,Apple Cin,0,20,20,0,20,0,0
2014-10-01,MUFFINS,Apple,0,0,0,0,0,0,0
2014-10-01,MUFFINS,Blue Streu,0,10,10,9,0,1,0
2014-10-01,MUFFINS,Choc Carml,0,22,22,8,12,2,0
2014-10-01,COOKIES/BARS,Oatmeal CC,17,56,73,55,0,0,18
2014-10-01,COOKIES/BARS,SNICKER,3,50,53,47,0,0,6
2014-10-01,COOKIES/BARS,Salt Caramel,0,12,12,11,0,0,1
2014-10-01,COOKIES/BARS,Triple Choc,2,32,34,34,0,0,0
2014-10-01,COOKIES/BARS,Harvest Rais,0,12,12,12,0,0,0
2014-10-01,COOKIES/BARS,Brownie,0,20,20,17,0,0,3
2014-10-01,COOKIES/BARS,Lemon,0,20,20,10,0,0,10
2014-10-01,COOKIES/BARS,Big Kahuna,8,0,8,2,0,6,0
2014-10-01,COOKIES/BARS,Totals,30,0,464,288,0,82,0
2014-10-02,BREAD,H,19,35,54,54,0,0,0
2014-10-02,BREAD,FR,20,34,54,54,0,0,0
2014-10-02,BREAD,GW,3,10,13,7,0,0,6
2014-10-02,BREAD,DK,27,0,27,22,0,0,5
2014-10-02,BREAD,H5,4,25,29,11,0,0,18
2014-10-02,BREAD,CSWRL,7,12,19,15,0,1,3
2014-10-02,BREAD,VASWRL,12,8,20,12,0,0,8
2014-10-02,BREAD,PPSWRL,0,20,20,20,0,0,0
2014-10-02,BREAD,VS,0,0,0,0,0,0,0
2014-10-02,BREAD,CG,0,21,21,12,4,0,5
2014-10-02,BREAD,AP,22,0,22,14,0,8,0
2014-10-02,BREAD,CnE,6,0,6,6,0,0,0
2014-10-02,BREAD,CnR,7,0,7,5,0,2,0
2014-10-02,BREAD,CnW,9,0,9,9,0,0,0
2014-10-02,BREAD,SOUR,0,7,7,2,1,0,4
2014-10-02,BREAD,A.Sour,0,4,4,1,1,0,2
2014-10-02,BREAD,ApC,0,0,0,0,0,0,0
2014-10-02,BREAD,CH,0,14,14,8,6,0,0
2014-10-02,BREAD,IHF,0,0,0,0,0,0,0
2014-10-02,BREAD,Cin Stix,20,0,20,0,0,20,0
2014-10-02,BREAD,CAR,0,0,0,0,0,0,0
2014-10-02,BREAD,BUT-RLS,0,0,0,0,0,0,0
2014-10-02,BREAD,H-RLS,4,0,4,4,0,0,0
2014-10-02,BREAD,FR-RLS,1,0,1,1,0,0,0
2014-10-02,BREAD,VS-RLS,0,0,0,0,0,0,0
2014-10-02,BREAD,APPLE,0,7,7,7,0,0,0
2014-10-02,BREAD,Choc,1,4,5,3,1,1,0
2014-10-02,BREAD,Blue,0,4,4,3,1,0,0
2014-10-02,ROLLS,Cinnamon,0,144,144,141,0,3,0
2014-10-02,SCONES,Cherry,0,12,12,12,0,0,0
2014-10-02,SCONES,Choc Chip,0,21,21,21,0,0,0
2014-10-02,SCONES,Blueberry,0,101,101,87,12,2,0
2014-10-02,SCONES,Butt Almd,0,25,25,25,0,0,0
2014-10-02,FRUIT BARS,Blueberry,0,40,40,19,20,1,0
2014-10-02,FRUIT BARS,Cherry,0,20,20,18,0,2,0
2014-10-02,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0
2014-10-02,MUFFINS,Pump Choc C,0,15,15,15,0,0,0
2014-10-02,MUFFINS,blue streu,0,15,15,15,0,0,0
2014-10-02,MUFFINS,Choc Carml,0,15,15,14,0,1,0
2014-10-02,MUFFINS,apple spice,0,27,27,14,12,1,0
2014-10-02,COOKIES/BARS,Oatmeal CC,18,48,66,65,0,0,1
2014-10-02,COOKIES/BARS,SNICKER,6,36,42,39,0,0,3
2014-10-02,COOKIES/BARS,Salt Caramel,1,36,37,37,0,0,0
2014-10-02,COOKIES/BARS,Triple Choc,0,36,36,18,12,0,6
2014-10-02,COOKIES/BARS,Harvest Rais,0,12,12,12,0,0,0
2014-10-02,COOKIES/BARS,Brownie,3,20,23,23,0,0,0
2014-10-02,COOKIES/BARS,Lemon,10,20,30,10,20,0,0
2014-10-02,COOKIES/BARS,Big Kahuna,0,20,20,20,0,0,0
2014-10-02,COOKIES/BARS,pumpkin,0,20,20,20,0,0,0
2014-10-02,COOKIES/BARS,PB,0,13,13,13,0,0,0
2014-10-02,COOKIES/BARS,PB Choc,0,23,23,23,0,0,0
2014-10-02,COOKIES/BARS,Totals,38,0,600,507,0,7,0
2014-10-03,BREAD,H,0,40,40,26,8,0,6
2014-10-03,BREAD,FR,0,63,63,51,9,0,3
2014-10-03,BREAD,GW,6,7,13,6,4,0,3
2014-10-03,BREAD,DK,5,41,46,23,2,0,21
2014-10-03,BREAD,H5,18,0,18,10,0,0,8
2014-10-03,BREAD,CSWRL,3,20,23,23,0,0,0
2014-10-03,BREAD,VASWRL,8,8,16,14,0,0,2
2014-10-03,BREAD,PPSWRL,0,16,16,16,0,0,0
2014-10-03,BREAD,VS,0,18,18,17,0,0,1
2014-10-03,BREAD,CG,5,0,5,5,0,0,0
2014-10-03,BREAD,AP,0,22,22,10,0,0,12
2014-10-03,BREAD,CnE,0,21,21,15,2,0,4
2014-10-03,BREAD,CnR,0,12,12,12,0,0,0
2014-10-03,BREAD,CnW,0,12,12,9,0,0,3
2014-10-03,BREAD,SOUR,4,0,4,4,0,0,0
2014-10-03,BREAD,A.Sour,2,0,2,1,0,1,0
2014-10-03,BREAD,ApC,0,0,0,0,0,0,0
2014-10-03,BREAD,CH,0,0,0,0,0,0,0
2014-10-03,BREAD,IHF,0,0,0,0,0,0,0
2014-10-03,BREAD,Cin Stix,0,38,38,13,0,0,25
2014-10-03,BREAD,CAR,0,20,20,13,0,0,7
2014-10-03,BREAD,BUT-RLS,0,0,0,0,0,0,0
2014-10-03,BREAD,H-RLS,0,8,8,3,1,0,4
2014-10-03,BREAD,FR-RLS,0,8,8,5,3,0,0
2014-10-03,BREAD,VS-RLS,0,5,5,2,0,0,3
2014-10-03,BREAD,APPLE,0,0,7,7,0,0,0
2014-10-03,BREAD,Choc,0,0,3,2,0,0,1
2014-10-03,BREAD,Blue,0,0,3,3,0,0,0
2014-10-03,ROLLS,Cinnamon,0,36,0,10,0,0,0
2014-10-03,SCONES,Cherry,0,22,22,10,0,12,0
2014-10-03,SCONES,Choc Chip,0,0,0,0,0,0,0
2014-10-03,SCONES,Blueberry,0,18,18,18,0,0,0
2014-10-03,SCONES,Butt Almd,0,47,47,47,0,0,0
2014-10-03,FRUIT BARS,Blueberry,0,10,10,7,0,3,0
2014-10-03,FRUIT BARS,Cherry,0,10,10,10,0,0,0
2014-10-03,FRUIT BARS,Apple Cin,0,20,20,7,0,13,0
2014-10-03,MUFFINS,Pump Choc C,0,15,15,15,0,0,0
