file,status,rows
./Daily Sheet Data Cleaned Whole and Half\2023 02 February.csv,ingested,1680
./Daily Sheet Data Cleaned Whole and Half\2023 03 March.csv,ingested,1746
./Daily Sheet Data Cleaned Whole and Half\2023 04 April.csv,ingested,1689
./Daily Sheet Data Cleaned Whole and Half\2023 05 May.csv,ingested,1739
./Daily Sheet Data Cleaned Whole and Half\2023 06 June.csv,ingested,1538
./Daily Sheet Data Cleaned Whole and Half\2023 07 July.csv,ingested,1604
./Daily Sheet Data Cleaned Whole and Half\2023 08 August.csv,ingested,1616
./Daily Sheet Data Cleaned Whole and Half\2023 09 September.csv,ingested,1595
./Daily Sheet Data Cleaned Whole and Half\2023 10 October.csv,ingested,1765
./Daily Sheet Data Cleaned Whole and Half\2023 11 November.csv,ingested,1979
./Daily Sheet Data Cleaned Whole and Half\2023 12 December.csv,ingested,2238
./Daily Sheet Data Cleaned Whole and Half\2024 01 January.csv,ingested,1709
./Daily Sheet Data Cleaned Whole and Half\2024 02 February.csv,ingested,1638
./Daily Sheet Data Cleaned Whole and Half\2024 03 March.csv,ingested,1886
./Daily Sheet Data Cleaned Whole and Half\2024 05 May.csv,ingested,1637
./Daily Sheet Data Cleaned Whole and Half\2024 06 June.csv,ingested,1622
./Daily Sheet Data Cleaned Whole and Half\2024 07 July.csv,ingested,1657
./Daily Sheet Data Cleaned Whole and Half\2024 08 August.csv,ingested,1670
